# session_id,20260627T224138Z-seed
# base_commit,seed
# exported_by,
# exported_at,
# tool_version,ec-image-reconciler-csv-v1
record_id,mutcd_code,description,category,word_image,folder_image,image_source,folder_width,folder_height,bg_removed,hq_status,first_assessment,first_assessment_reasons,final_verdict,note,reviewer,reviewed_at
image903.png,R3-9e,Reversible lane control (overhead),REGULATORY SIGNS,word_images/image903.png,REGULATORY_SIGNS/R3-9e.png,docx_embedded,230,104,False,docx,ok,docx source; 230x104,,,,
image910.png,R3-9f,Reversible lane control (post- mounted),REGULATORY SIGNS,word_images/image910.png,REGULATORY_SIGNS/R3-9f.png,docx_embedded,230,318,False,docx,ok,docx source; 230x318,,,,
image909.png,R3-9g,Advance reversible lane control transition,REGULATORY SIGNS,word_images/image909.png,REGULATORY_SIGNS/R3-9g.png,docx_embedded,230,80,True,docx,ok,docx source; 230x80,,,,
image896.png,R3-9h,Advance reversible lane control transition,REGULATORY SIGNS,word_images/image896.png,REGULATORY_SIGNS/R3-9h.png,docx_embedded,230,80,True,docx,ok,docx source; 230x80,,,,
image895.png,R3-9i,End reverse lane,REGULATORY SIGNS,word_images/image895.png,REGULATORY_SIGNS/R3-9i.png,docx_embedded,230,104,True,docx,ok,docx source; 230x104,,,,
image907.png,R3-10,"HOV 2+ only, 2 or more persons per vehicle (post- mounted)",REGULATORY SIGNS,word_images/image907.png,REGULATORY_SIGNS/R3-10.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image908.png,R3-10a,ILEV allowed (post- mounted),REGULATORY SIGNS,word_images/image908.png,REGULATORY_SIGNS/R3-10a.png,docx_embedded,230,320,True,docx,ok,docx source; 230x320,,,,
image890.png,R3-11,HOV 2+ only (times and days) (post- mounted),REGULATORY SIGNS,word_images/image890.png,REGULATORY_SIGNS/R3-11.png,docx_embedded,230,318,False,docx,ok,docx source; 230x318,,,,
image957.png,R3-11a,"2 right lanes,HOV 2+ only (times and days) (post- mounted)",REGULATORY SIGNS,word_images/image957.png,REGULATORY_SIGNS/R3-11a.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image953.png,R3-11b,HOV 2+ only (full-time) (post- mounted),REGULATORY SIGNS,word_images/image953.png,REGULATORY_SIGNS/R3-11b.png,docx_embedded,230,320,True,docx,ok,docx source; 230x320,,,,
image941.png,R3-11c,"2 right lanes,HOV 2+ only (full-time) (post- mounted)",REGULATORY SIGNS,word_images/image941.png,REGULATORY_SIGNS/R3-11c.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image942.png,R3-11d,"Right lane, buses only (times and days) (post- mounted)",REGULATORY SIGNS,word_images/image942.png,REGULATORY_SIGNS/R3-11d.png,docx_embedded,230,318,False,docx,ok,docx source; 230x318,,,,
image948.png,R3-11e,"Right lane, buses only (full-time) (post- mounted)",REGULATORY SIGNS,word_images/image948.png,REGULATORY_SIGNS/R3-11e.png,docx_embedded,230,320,True,docx,ok,docx source; 230x320,,,,
image950.png,R3-11f,"Shoulder, buses only (times and days) (post- mounted)",REGULATORY SIGNS,word_images/image950.png,REGULATORY_SIGNS/R3-11f.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image932.png,R3-11g,"Shoulder, buses and right turns only (times and days) (post- mounted)",REGULATORY SIGNS,word_images/image932.png,REGULATORY_SIGNS/R3-11g.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image931.png,R3-11hP,Motorcycles allowed (plaque),REGULATORY SIGNS,word_images/image931.png,REGULATORY_SIGNS/R3-11hP.png,docx_embedded,230,118,False,docx,ok,docx source; 230x118,,,,
image939.png,R3-12,HOV 2+ lane ahead (post- mounted),REGULATORY SIGNS,word_images/image939.png,REGULATORY_SIGNS/R3-12.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image943.png,R3-12a,HOV lane ends (post- mounted),REGULATORY SIGNS,word_images/image943.png,REGULATORY_SIGNS/R3-12a.png,docx_embedded,230,320,True,docx,ok,docx source; 230x320,,,,
image830.png,R3-12b,HOV lane ends (distance) (post- mounted),REGULATORY SIGNS,word_images/image830.png,REGULATORY_SIGNS/R3-12b.png,docx_embedded,230,318,False,docx,ok,docx source; 230x318,,,,
image840.png,R3-12c,HOVrestriction ends (post- mounted),REGULATORY SIGNS,word_images/image840.png,REGULATORY_SIGNS/R3-12c.png,docx_embedded,230,320,True,docx,ok,docx source; 230x320,,,,
image834.png,R3-12d,HOVrestriction ends (distance) (post- mounted),REGULATORY SIGNS,word_images/image834.png,REGULATORY_SIGNS/R3-12d.png,docx_embedded,230,320,True,docx,ok,docx source; 230x320,,,,
image820.png,R3-12e,"Left lane, HOV 2+ only (distance) (post- mounted)",REGULATORY SIGNS,word_images/image820.png,REGULATORY_SIGNS/R3-12e.png,docx_embedded,230,320,False,docx,ok,docx source; 230x320,,,,
image821.png,R3-12f,Bus lane ahead (post- mounted),REGULATORY SIGNS,word_images/image821.png,REGULATORY_SIGNS/R3-12f.png,docx_embedded,230,274,False,docx,ok,docx source; 230x274,,,,
image828.png,R3-12g,Bus lane ends (post- mounted),REGULATORY SIGNS,word_images/image828.png,REGULATORY_SIGNS/R3-12g.png,docx_embedded,230,276,False,docx,ok,docx source; 230x276,,,,
image824.png,R3-12h,Bus lane ends (distance) (post- mounted),REGULATORY SIGNS,word_images/image824.png,REGULATORY_SIGNS/R3-12h.png,docx_embedded,230,318,False,docx,ok,docx source; 230x318,,,,
image811.png,R3-13,"HOV 2+ only, 2 or more persons per vehicle (overhead)",REGULATORY SIGNS,word_images/image811.png,REGULATORY_SIGNS/R3-13.png,docx_embedded,230,126,True,docx,ok,docx source; 230x126,,,,
image810.png,R3-13a,"HOV 2+ only, 2 or more persons per vehicle (times and days) (overhead)",REGULATORY SIGNS,word_images/image810.png,REGULATORY_SIGNS/R3-13a.png,docx_embedded,230,126,True,docx,ok,docx source; 230x126,,,,
image818.png,R3-14,HOV 2+ only (times and days) (1-line) (overhead),REGULATORY SIGNS,word_images/image818.png,REGULATORY_SIGNS/R3-14.png,docx_embedded,230,192,False,docx,ok,docx source; 230x192,,,,
image874.png,R3-14a,HOV 2+ only (times and days) (2-lines) (overhead),REGULATORY SIGNS,word_images/image874.png,REGULATORY_SIGNS/R3-14a.png,docx_embedded,230,192,False,docx,ok,docx source; 230x192,,,,
image870.png,R3-14b,HOV 2+ only (full-time) (overhead),REGULATORY SIGNS,word_images/image870.png,REGULATORY_SIGNS/R3-14b.png,docx_embedded,230,192,False,docx,ok,docx source; 230x192,,,,
image879.png,R3-14c,Buses and taxis only (times and days) (overhead),REGULATORY SIGNS,word_images/image879.png,REGULATORY_SIGNS/R3-14c.png,docx_embedded,230,146,False,docx,ok,docx source; 230x146,,,,
image877.png,R3-15,HOV 2+ lane ahead (overhead),REGULATORY SIGNS,word_images/image877.png,REGULATORY_SIGNS/R3-15.png,docx_embedded,230,128,False,docx,ok,docx source; 230x128,,,,
image866.png,R3-15a,HOV 2+ only begins (distance) (overhead),REGULATORY SIGNS,word_images/image866.png,REGULATORY_SIGNS/R3-15a.png,docx_embedded,230,142,False,docx,ok,docx source; 230x142,,,,
