category,mutcd_code,occurrence,output_relpath,role,role_index,row_index,source_type,source_docx,source_partname,source_rid,source_web_url,bg_removed,width,height,sha256,fallback_relpath,fallback_sha256,source_web_provider,max_dim
WARNING_SIGNS,W13-3,1,WARNING_SIGNS/W13-3.png,image,1,698,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image579.png,rId725,,True,230,285,91ad4d9956037f2ac0be6561f3699a243e5e22b69f55e850e0972804e1fe00dd,,,,285
WARNING_SIGNS,W13-6,1,WARNING_SIGNS/W13-6.png,image,1,699,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image577.png,rId726,,True,140,240,b6a749efe2117b51eb33d02e4cc3a9f199810b733fcf49ad9597298ff1c6f28e,,,,240
WARNING_SIGNS,W13-7,1,WARNING_SIGNS/W13-7.png,image,1,700,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image581.png,rId727,,True,140,240,42771ef96c8c02a5cceb6f57a32ead72fdeedb6f20fc2bfc0b5a0d5c2363bd71,,,,240
WARNING_SIGNS,W13-8,1,WARNING_SIGNS/W13-8.png,image,1,701,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image576.png,rId728,,True,142,246,085f3d7ea6be0178538ebb9a56e4884bbd1053b26cb4a5d0036f449e87a6cc57,,,,246
WARNING_SIGNS,W13-9,1,WARNING_SIGNS/W13-9.png,image,1,702,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image578.png,rId729,,True,142,244,b5f9596d5c454469b7ae80c8763996de76ab5c6cd52954298b685414fe7c4a7e,,,,244
WARNING_SIGNS,W13-10,1,WARNING_SIGNS/W13-10.png,image,1,703,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image572.png,rId730,,True,166,244,52b716d89f5dc4cb683ef2b28c3141ed5c77400ce53317f076e9ce9ebacd5d70,,,,244
WARNING_SIGNS,W13-11,1,WARNING_SIGNS/W13-11.png,image,1,704,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image517.png,rId731,,True,166,244,10ca422d641bbb1a9b7da57081ce9cee771099c882347f6f0fadfbaab1947eda,,,,244
WARNING_SIGNS,W13-12,1,WARNING_SIGNS/W13-12.png,image,1,705,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image512.png,rId732,,True,142,246,0646fd87feab80de1637fcf5cb8cf2291263e9356ed441f7f16ebeca9728f947,,,,246
WARNING_SIGNS,W13-13,1,WARNING_SIGNS/W13-13.png,image,1,706,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image509.png,rId733,,True,142,246,f083c8ebf2f5fed5801fd38d67e43e3663467e9d0033a85e64a69c3680b8dfee,,,,246
WARNING_SIGNS,W13-20,1,WARNING_SIGNS/W13-20.png,image,1,707,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image519.png,rId734,,True,230,283,0f664059b3e0e75d211764b5544519e879c99c3ae0573a96cb4da42a2b4d1f1a,,,,283
WARNING_SIGNS,W13-20aP,1,WARNING_SIGNS/W13-20aP.png,image,1,708,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image515.png,rId735,,True,230,173,208d5d4d75402c63da807f81e194250583815f39b6f3148a0ceffe7a96bcd179,,,,230
WARNING_SIGNS,W14-1,1,WARNING_SIGNS/W14-1.png,image,1,709,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image507.png,rId736,,True,230,229,2b209f3100086724b297f3781b43658b27fc6e9709a8ce9e6ef45c01c480f9f0,,,,230
WARNING_SIGNS,W14-1aR,1,WARNING_SIGNS/W14-1aR.png,image,1,710,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image508.png,rId737,,True,230,54,aad66717b24fac4a339c47bb1356ce141ed18269216a065aa22545f28fa10c98,,,,230
WARNING_SIGNS,W14-1aL,1,WARNING_SIGNS/W14-1aL.png,image,1,711,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image504.png,rId738,,True,230,54,787161164be7a5a41595cf7cc496198e95719ba88ed97c3774e7022d75666903,,,,230
WARNING_SIGNS,W14-2,1,WARNING_SIGNS/W14-2.png,image,1,712,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image502.png,rId739,,True,230,231,0404f132af29537735bfee588c7710a6297eb84e9b5636df8dfeffffc580d8a6,,,,231
WARNING_SIGNS,W14-2aR,1,WARNING_SIGNS/W14-2aR.png,image,1,713,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image503.png,rId740,,True,230,53,64b04f8a5b9690936557085722cbb7fec93cf0695408f8ee3feb42fddd256514,,,,230
WARNING_SIGNS,W14-2aL,1,WARNING_SIGNS/W14-2aL.png,image,1,714,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image550.png,rId741,,True,230,53,75698b72db3c5a569bfa66a363889b9b5f6a6460c4340ce1d35c082d37917a5d,,,,230
WARNING_SIGNS,W14-3,1,WARNING_SIGNS/W14-3.png,image,1,715,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image549.png,rId742,,True,230,189,6bc79c221820b4f329ac5a30830656f9e80037e417edc2408ce4f5f89423b570,,,,230
